commit_id,variant,project_name,status,elapsed_seconds,candidate_count,relevant_failed_count,APFD,NRPA,RPA
e29cf4,with_non_regression,tvm_git_e29cf4,success,88.5,113,5,0.9548672566371682,0.9529658226107939,0.6381216570284667
49ca16e,with_non_regression,karaf_git_49ca16e,success,126.7,104,3,0.8381410256410257,0.8613176297386824,0.5769723865877712
da0dbf1,with_non_regression,hadoop_git_da0dbf1,success,206.5,113,4,0.9203539823008849,0.8302210440138785,0.5559297256376119
35148ba,with_non_regression,tvm_git_35148ba,success,323.9,154,34,0.5091673032849504,0.8028211062348238,0.5369517788453692
a37c111,with_non_regression,activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c,success,439.7,111,1,0.9144144144144144,0.7765855221012172,0.5200557700557701
